time,"(ABS) Front left wheel speed (km/h)","(ABS) Front right wheel speed (km/h)","(ABS) Rear right wheel speed (km/h)","[BCM] Battery Capacity too low for start/stop ()","[BCM] Battery Current too high for start/stop ()","[BCM] Battery Current: Predicted (A)","[BCM] Battery Quinscent Current: low range (mA)","[BCM] Battery Refresh Cycle in progress for Start/Stop ()","[BCM] Battery SoC (%)","[BCM] Battery SoC too low for start/stop ()","[BCM] Battery State Detection Status ()","[BCM] Battery Temperature Too Low for auto stop ()","[BCM] Battery Voltage Too Low for auto restart ()","[BCM] Battery Voltage too low for cold cranking capability ()","[BCM] Battery Voltage too low for Start/Stop ()","[BCM] Normalized cumulative charge when ignition is on [Cn] ()","[BCM] Normalized cumulative discharge from battery with engine off [Cn] ()","[BCM] Normalized cumulative discharge from battery with engine on [Cn] ()","[BCM] Vehicle Battery B Current (A)","[BCM] Vehicle Battery B Voltage (V)","[BCM] Vehicle Battery Current (A)","[BCM] Vehicle Battery SoC (A)","[BCM] Vehicle Battery Voltage (V)","# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Actual engine - percent torque (%)","Altitude (GPS) (m)","Ambient air temperature (℃)","ATF temperature var.3 (℃)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance to empty (km)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine Exhaust Flow Rate (g/sec)","Engine Friction - Percent Torque (%)","Engine fuel rate (L/h)","Engine fuel rate (L/h)","Engine Fuel Rate (g/sec)","Engine oil pressure raw (kPa)","Engine reference torque (N⋅m)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Ethanol fuel percent (%)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel rail press. (kPa)","Fuel System A Use Percentage Bank 1 (%)","Fuel System A Use Percentage Bank 2 (%)","Fuel System B Use Percentage Bank 1 (%)","Fuel System B Use Percentage Bank 2 (%)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Gear (AT) ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake air temperature B1S1 (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","Long term secondary oxygen sensor trim Bank 2 (%)","Manifold absolute pressure (high resolution) (kPa)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","PCM Odometer (km)","Power (from Torque and RPM) (hp)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 2 (%)","Speed (GPS) (km/h)","Throttle position (%)","Throttle Position Actually (°)","Throttle Position Desired (°)","Timing advance (°)","Vane position sensor (V)","Variable camshaft actual advance #1 (°)","Vehicle acceleration (g)","Vehicle Fuel Rate (g/sec)","Vehicle Odometer Reading (km)","Vehicle speed (km/h)",Latitude,Longtitude,
18:21:14.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.30401611328125,,,,,,,,,22.97949474561253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8680004119873,,,,,,,,,,,21.5032908,39.2236496,
18:21:15.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.17926025390625,,,,,,,,,23.963758935396786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.35199890136719,,,,,,,,,,,21.5033672,39.2235978,
18:21:16.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.30517578125,,,,,,,,,24.945907242951066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.404001235961914,,,,,,,,,,,21.5034455,39.2235413,
18:21:17.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3861083984375,,,,,,,,,25.87875020361691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91600151062012,,,,,,,,,,,21.5035284,39.2234831,
18:21:18.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.34149169921875,,,,,,,,,26.85287368673667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.82400054931641,,,,,,,,,,,21.5036143,39.2234213,
18:21:19.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.57293701171875,,,,,,,,,27.75479995974185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6879997253418,,,,,,,,,,,21.5036996,39.2233576,
18:21:20.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.62152099609375,,,,,,,,,28.58765032718328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.26399917602539,,,,,,,,,,,21.5037909,39.2232953,
18:21:21.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.36419677734375,,,,,,,,,29.37030219019554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.236000823974614,,,,,,,,,,,21.5038818,39.2232304,
18:21:22.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.214599609375,,,,,,,,,30.09179776243109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.77599945068359,,,,,,,,,,,21.5039706,39.2231629,
18:21:24.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.41119384765625,,,,,,,,,31.517336074384335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.468000411987305,,,,,,,,,,,21.5041566,39.2230226,
18:21:25.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.56005859375,,,,,,,,,32.14676924214223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,,,,,,,,,21.5042516,39.2229505,
18:21:26.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.44830322265625,,,,,,,,,32.701176695534755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25199890136719,,,,,,,,,,,21.5043477,39.2228832,
