time,"Altitude (GPS) (m)","Average speed (km/h)","Average speed (GPS) (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Commanded evaporative purge (%)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel rail press. (kPa)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","OBD Module Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Short term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 2 (%)","Speed (GPS) (km/h)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
18:45:07.501,17.81103515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5363376,39.207677,
18:45:12.703,17.81103515625,,21.976969224163792,,,,,,,,,,,,,,,,,,,,,,,,,,22.031999588012695,,,,,21.5363376,39.207677,
18:45:12.703,16.79595947265625,,21.976970397903155,,,,,,,,,,,,,,,,,,,,,,,,,,22.031999588012695,,,,,21.5363376,39.207677,
18:45:13.502,16.79595947265625,,22.494897947298565,,,,,,,,,,,,,,,,,,,,,,,,,,25.884000205993654,,,,,21.5363376,39.207677,
18:45:13.502,16.7979736328125,,22.494913018570397,,,,,,,,,,,,,,,,,,,,,,,,,,25.884000205993654,,,,,21.536398,39.2076599,
18:45:14.524,16.7979736328125,,23.575711772427653,,,,,,,,,,,,,,,,,,,,,,,,,,29.951998901367187,,,,,21.536398,39.2076599,
18:45:14.524,16.99932861328125,,23.575733484775338,,,,,,,,,,,,,,,,,,,,,,,,,,29.951998901367187,,,,,21.5364709,39.2076464,
18:45:15.490,16.99932861328125,,24.630786341867417,,,,,,,,,,,,,,,,,,,,,,,,,,32.327998352050784,,,,,21.5364709,39.2076464,
18:45:15.490,17.6173095703125,,24.630809776741657,,,,,,,,,,,,,,,,,,,,,,,,,,32.327998352050784,,,,,21.5365536,39.2076254,
18:45:19.497,17.6173095703125,,23.87250164162549,,,,,,,,,,,,,,,,,,,,,,,,,,22.3560001373291,,,,,21.5365536,39.2076254,
18:45:19.497,19.020263671875,,23.872498008575025,,,,,,,,,,,,,,,,,,,,,,,,,,22.3560001373291,,,,,21.5368383,39.207559,
18:45:24.794,19.020263671875,,17.738603742296057,,,,,,,,,,,,,,,,,,,,,,,,,,3.815999794006348,,,,,21.5368383,39.207559,
18:45:24.794,18.822265625,,17.73857882029887,,,,,,,,,,,,,,,,,,,,,,,,,,3.815999794006348,,,,,21.5369401,39.2075416,
18:45:25.483,18.822265625,,17.21790621136797,,,,,,,,,,,,,,,,,,,,,,,,,,4.139999914169311,,,,,21.5369401,39.2075416,
18:45:25.483,18.5413818359375,,17.217884351407793,,,,,,,,,,,,,,,,,,,,,,,,,,4.139999914169311,,,,,21.5369477,39.207539,
18:45:26.483,18.5413818359375,,16.62654286405745,,,,,,,,,,,,,,,,,,,,,,,,,,5.975999879837036,,,,,21.5369477,39.207539,
18:45:26.483,18.4971923828125,,16.62650285617081,,,,,,,,,,,,,,,,,,,,,,,,,,5.975999879837036,,,,,21.536961,39.2075358,
18:45:28.529,18.4971923828125,,16.16183637151229,,,,,,,,,,,,,,,,,,,,,,,,,,11.843999862670898,,,,,21.536961,39.2075358,
18:45:28.529,18.7359619140625,,16.161830567362134,,,,,,,,,,,,,,,,,,,,,,,,,,11.843999862670898,,,,,21.537012,39.2075229,
18:45:30.483,18.7359619140625,,16.10392939088666,,,,,,,,,,,,,,,,,,,,,,,,,,15.480000686645509,,,,,21.537012,39.2075229,
18:45:30.483,18.7093505859375,,16.103926562347137,,,,,,,,,,,,,,,,,,,,,,,,,,15.480000686645509,,,,,21.5370835,39.2075047,
18:45:31.518,18.7093505859375,,16.205707912815825,,,,,,,,,,,,,,,,,,,,,,,,,,18.468000411987305,,,,,21.5370835,39.2075047,
18:45:31.518,19.08331298828125,,16.20571446200343,,,,,,,,,,,,,,,,,,,,,,,,,,18.468000411987305,,,,,21.5371341,39.2074904,
18:45:33.524,19.08331298828125,,16.659882807330057,,,,,,,,,,,,,,,,,,,,,,,,,,22.103999519348147,,,,,21.5371341,39.2074904,
18:45:33.524,19.9794921875,,16.65988928650505,,,,,,,,,,,,,,,,,,,,,,,,,,22.103999519348147,,,,,21.5372389,39.2074634,
18:45:38.488,19.9794921875,,18.511008060034452,,,,,,,,,,,,,,,,,,,,,,,,,,28.224000549316408,,,,,21.5372389,39.2074634,
18:45:38.488,20.45477294921875,,18.51102829283714,,,,,,,,,,,,,,,,,,,,,,,,,,28.224000549316408,,,,,21.5375547,39.2073958,
18:45:40.482,20.45477294921875,,19.176158268875845,,,,,,,,,,,,,,,,,,,,,,,,,,29.519999313354493,,,,,21.5375547,39.2073958,
18:45:40.482,20.43212890625,,19.17616773329506,,,,,,,,,,,,,,,,,,,,,,,,,,29.519999313354493,,,,,21.5376944,39.2073718,
18:45:41.533,20.43212890625,,19.510975740668837,,,,,,,,,,,,,,,,,,,,,,,,,,30.02400054931641,,,,,21.5376944,39.2073718,
18:45:41.533,20.77630615234375,,19.51098521733467,,,,,,,,,,,,,,,,,,,,,,,,,,30.02400054931641,,,,,21.5377703,39.2073567,
18:45:44.497,20.77630615234375,,20.390161954466052,,,,,,,,,,,,,,,,,,,,,,,,,,30.492000961303713,,,,,21.5377703,39.2073567,
18:45:44.497,21.5174560546875,,20.390169676540374,,,,,,,,,,,,,,,,,,,,,,,,,,30.492000961303713,,,,,21.5379934,39.2073037,
18:45:46.461,21.5174560546875,,20.810176336222526,,,,,,,,,,,,,,,,,,,,,,,,,,28.728000068664553,,,,,21.5379934,39.2073037,
18:45:48.504,21.60052490234375,,21.0198260885203,,,,,,,,,,,,,,,,,,,,,,,,,,25.019999313354493,,,,,21.5381365,39.2072759,
18:45:48.504,21.6510009765625,,21.019828945196025,,,,,,,,,,,,,,,,,,,,,,,,,,25.019999313354493,,,,,21.53826,39.2072458,
18:45:51.506,21.6510009765625,,21.081478309822465,,,,,,,,,,,,,,,,,,,,,,,,,,21.924000549316407,,,,,21.53826,39.2072458,
18:45:54.477,20.92510986328125,,20.809379222844388,,,,,,,,,,,,,,,,,,,,,,,,,,16.775999450683596,,,,,21.5384317,39.2072091,
18:45:54.477,20.83026123046875,,20.80937664840433,,,,,,,,,,,,,,,,,,,,,,,,,,16.775999450683596,,,,,21.5385626,39.2071807,
18:45:55.500,20.83026123046875,,20.672782711220762,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,21.5385626,39.2071807,
18:45:55.500,20.71343994140625,,20.672778609874175,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,21.538595,39.207169,
18:45:58.485,20.71343994140625,,19.680148325695683,,,,,,,,,,,,,,,,,,,,,,,,,,3.707999897003174,,,,,21.538595,39.207169,
18:45:58.485,20.5543212890625,,19.68013786739227,,,,,,,,,,,,,,,,,,,,,,,,,,3.707999897003174,,,,,21.5386479,39.2071571,
18:46:04.703,20.5543212890625,,19.282440125882456,,,,,,,,,,,,,,,,,,,,,,,,,,16.019999313354493,,,,,21.5386479,39.2071571,
18:46:04.703,20.104736328125,,19.282438330117447,,,,,,,,,,,,,,,,,,,,,,,,,,16.019999313354493,,,,,21.5387929,39.2071172,
18:46:09.543,20.104736328125,,19.572622276659928,,,,,,,,,,,,,,,,,,,,,,,,,,23.003999519348145,,,,,21.5387929,39.2071172,
18:46:17.483,20.12725830078125,,19.92097776893431,,,,,,,,,,,,,,,,,,,,,,,,,,22.6439998626709,,,,,21.5390707,39.2070605,
18:46:17.483,20.89178466796875,,19.92097908751958,,,,,,,,,,,,,,,,,,,,,,,,,,22.6439998626709,,,,,21.5395069,39.206985,
18:46:19.459,20.89178466796875,,19.99079131015548,,,,,,,,,,,,,,,,,,,,,,,,,,22.463999176025393,,,,,21.5395069,39.206985,
18:46:19.459,22.28619384765625,,19.9907922996676,,,,,,,,,,,,,,,,,,,,,,,,,,22.463999176025393,,,,,21.5396258,39.2069614,
18:46:20.456,22.28619384765625,,20.01130631765639,,,,,,,,,,,,,,,,,,,,,,,,,,21.491999244689943,,,,,21.5396258,39.2069614,
18:46:20.456,22.03729248046875,,20.01130683502191,,,,,,,,,,,,,,,,,,,,,,,,,,21.491999244689943,,,,,21.5396782,39.2069526,
18:46:25.473,22.03729248046875,,19.90742008780826,,,,,,,,,,,,,,,,,,,,,,,,,,18.396000480651857,,,,,21.5396782,39.2069526,
18:46:25.473,22.02178955078125,,19.907417847722275,,,,,,,,,,,,,,,,,,,,,,,,,,18.396000480651857,,,,,21.5399178,39.206902,
18:46:32.699,22.02178955078125,,20.469088293987213,,,,,,,,,,,,,,,,,,,,,,,,,,26.531999588012695,,,,,21.5399178,39.206902,
18:46:32.699,23.399658203125,,20.46909794082035,,,,,,,,,,,,,,,,,,,,,,,,,,26.531999588012695,,,,,21.5402808,39.2068286,
18:46:33.647,23.399658203125,,20.545732781620128,,,,,,,,,,,,,,,,,,,,,,,,,,27.431999588012697,,,,,21.5402808,39.2068286,
18:46:33.647,23.6268310546875,,20.545735155056494,,,,,,,,,,,,,,,,,,,,,,,,,,27.431999588012697,,,,,21.540348,39.2068136,
18:46:36.508,23.6268310546875,,20.694155178876837,,,,,,,,,,,,,,,,,,,,,,,,,,25.163999176025392,,,,,21.540348,39.2068136,
18:46:36.508,24.13232421875,,20.69415652937943,,,,,,,,,,,,,,,,,,,,,,,,,,25.163999176025392,,,,,21.54055,39.2067704,
18:46:40.524,24.13232421875,,20.65401794276855,,,,,,,,,,,,,,,,,,,,,,,,,,19.76399917602539,,,,,21.54055,39.2067704,
18:46:40.524,25.4000244140625,,20.654017660596132,,,,,,,,,,,,,,,,,,,,,,,,,,19.76399917602539,,,,,21.5407592,39.2067255,
18:46:42.486,25.4000244140625,,20.61928295911209,,,,,,,,,,,,,,,,,,,,,,,,,,18.97199993133545,,,,,21.5407592,39.2067255,
18:46:42.486,23.21624755859375,,20.619282451108546,,,,,,,,,,,,,,,,,,,,,,,,,,18.97199993133545,,,,,21.5408624,39.2067107,
18:46:44.599,23.21624755859375,,20.617122705176197,,,,,,,,,,,,,,,,,,,,,,,,,,20.519999313354493,,,,,21.5408624,39.2067107,
18:46:44.599,23.10516357421875,,20.617122363374975,,,,,,,,,,,,,,,,,,,,,,,,,,20.519999313354493,,,,,21.5409606,39.2066927,
18:46:46.463,23.10516357421875,,20.639704963705494,,,,,,,,,,,,,,,,,,,,,,,,,,21.81599979400635,,,,,21.5409606,39.2066927,
18:46:46.464,24.02978515625,,20.63970568977175,,,,,,,,,,,,,,,,,,,,,,,,,,21.81599979400635,,,,,21.5410687,39.2066695,
