time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Ethanol fuel percent (%)","Evap. system vapor pressure (Pa)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","Power from MAF (hp)","Relative throttle position (%)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
03:52:33.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96875,29.382617249999996,,,,,,,,,,,
03:52:33.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98046875,29.382617249999996,,,,,,,,,,,
03:52:33.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98046875,29.382617249999996,,,,,,,,,,,
03:52:33.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29.382617249999996,,,,,,,,,,,
03:52:33.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29.382617249999996,,,,,,,,,,,
03:52:33.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7109375,29.382617249999996,,,,,,,,,,,
03:52:33.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0859375,29.382617249999996,,,,,,,,,,,
03:52:33.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0859375,29.382617249999996,,,,,,,,,,,
03:52:33.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.015625,29.382617249999996,,,,,,,,,,,
03:52:33.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.015625,29.382617249999996,,,,,,,,,,,
03:52:33.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0546875,29.382617249999996,,,,,,,,,,,
03:52:33.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12109375,29.382617249999996,,,,,,,,,,,
03:52:33.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12109375,29.382617249999996,,,,,,,,,,,
03:52:33.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:33.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91796875,29.382617249999996,,,,,,,,,,,
03:52:34.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50390625,29.382617249999996,,,,,,,,,,,
03:52:34.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50390625,29.382617249999996,,,,,,,,,,,
03:52:34.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14453125,29.382617249999996,,,,,,,,,,,
03:52:34.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14453125,29.382617249999996,,,,,,,,,,,
03:52:34.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17578125,29.382617249999996,,,,,,,,,,,
03:52:34.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61328125,29.382617249999996,,,,,,,,,,,
03:52:34.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61328125,29.382617249999996,,,,,,,,,,,
03:52:34.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48046875,29.382617249999996,,,,,,,,,,,
03:52:34.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48046875,29.382617249999996,,,,,,,,,,,
03:52:34.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8359375,29.382617249999996,,,,,,,,,,,
03:52:34.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71875,29.382617249999996,,,,,,,,,,,
03:52:34.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71875,29.382617249999996,,,,,,,,,,,
03:52:34.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15234375,29.382617249999996,,,,,,,,,,,
03:52:34.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15234375,29.382617249999996,,,,,,,,,,,
03:52:34.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:34.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.625,29.382617249999996,,,,,,,,,,,
03:52:34.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.109375,29.382617249999996,,,,,,,,,,,
03:52:35.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.109375,29.382617249999996,,,,,,,,,,,
03:52:35.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44921875,29.382617249999996,,,,,,,,,,,
03:52:35.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44921875,29.382617249999996,,,,,,,,,,,
03:52:35.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60546875,29.382617249999996,,,,,,,,,,,
03:52:35.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0234375,29.382617249999996,,,,,,,,,,,
03:52:35.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0234375,29.382617249999996,,,,,,,,,,,
03:52:35.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56640625,29.382617249999996,,,,,,,,,,,
03:52:35.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56640625,29.382617249999996,,,,,,,,,,,
03:52:35.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0390625,29.382617249999996,,,,,,,,,,,
03:52:35.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8359375,29.382617249999996,,,,,,,,,,,
03:52:35.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8359375,29.382617249999996,,,,,,,,,,,
03:52:35.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1875,29.382617249999996,,,,,,,,,,,
03:52:35.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1875,29.382617249999996,,,,,,,,,,,
03:52:35.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13671875,29.382617249999996,,,,,,,,,,,
03:52:35.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90234375,29.382617249999996,,,,,,,,,,,
03:52:35.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:35.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90234375,29.382617249999996,,,,,,,,,,,
03:52:36.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9375,29.382617249999996,,,,,,,,,,,
03:52:36.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9375,29.382617249999996,,,,,,,,,,,
03:52:36.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,29.382617249999996,,,,,,,,,,,
03:52:36.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13671875,29.382617249999996,,,,,,,,,,,
03:52:36.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13671875,29.382617249999996,,,,,,,,,,,
03:52:36.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16796875,29.382617249999996,,,,,,,,,,,
03:52:36.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16796875,29.382617249999996,,,,,,,,,,,
03:52:36.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16015625,29.382617249999996,,,,,,,,,,,
03:52:36.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4609375,29.382617249999996,,,,,,,,,,,
03:52:36.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4609375,29.382617249999996,,,,,,,,,,,
03:52:36.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6015625,29.382617249999996,,,,,,,,,,,
03:52:36.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6015625,29.382617249999996,,,,,,,,,,,
03:52:36.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.125,29.382617249999996,,,,,,,,,,,
03:52:36.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:36.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.765625,29.382617249999996,,,,,,,,,,,
03:52:37.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12109375,29.382617249999996,,,,,,,,,,,
03:52:37.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6171875,29.382617249999996,,,,,,,,,,,
03:52:37.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6171875,29.382617249999996,,,,,,,,,,,
03:52:37.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12109375,29.382617249999996,,,,,,,,,,,
03:52:37.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12109375,29.382617249999996,,,,,,,,,,,
03:52:37.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87109375,29.382617249999996,,,,,,,,,,,
03:52:37.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01171875,29.382617249999996,,,,,,,,,,,
03:52:37.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01171875,29.382617249999996,,,,,,,,,,,
03:52:37.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7890625,29.382617249999996,,,,,,,,,,,
03:52:37.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7890625,29.382617249999996,,,,,,,,,,,
03:52:37.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09375,29.382617249999996,,,,,,,,,,,
03:52:37.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68359375,29.382617249999996,,,,,,,,,,,
03:52:37.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68359375,29.382617249999996,,,,,,,,,,,
03:52:37.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02734375,29.382617249999996,,,,,,,,,,,
03:52:37.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02734375,29.382617249999996,,,,,,,,,,,
03:52:37.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:37.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97265625,29.382617249999996,,,,,,,,,,,
03:52:37.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:38.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76171875,29.382617249999996,,,,,,,,,,,
03:52:38.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:38.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76171875,29.382617249999996,,,,,,,,,,,
03:52:38.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:38.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94921875,29.382617249999996,,,,,,,,,,,
03:52:38.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:38.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94921875,29.382617249999996,,,,,,,,,,,
03:52:38.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:38.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.703125,29.382617249999996,,,,,,,,,,,
03:52:38.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:38.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,29.382617249999996,,,,,,,,,,,
03:52:38.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:52:38.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,29.382617249999996,,,,,,,,,,,
03:52:38.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
